sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,m_at_home,m_health,m_other,m_services,m_teacher,f_at_home,f_health,f_other,f_services,f_teacher,course,home,other,reputation,father,mother,other
0,18,1,1,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,17,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,15,1,0,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,15,1,1,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,16,1,1,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,16,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,17,1,1,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,15,1,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,19,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,1,1,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,15,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,15,1,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,15,1,0,1,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
